No.,Time
2,48.49
10,48.493
12,48.529
20,48.532
24,48.558
27,48.563
28,48.573
33,48.618
34,48.624
42,48.659
44,48.692
50,48.699
55,48.74
57,48.755
58,48.757
59,48.78
60,48.822
61,48.863
67,48.889
69,48.909
70,48.949
74,48.955
75,48.99
76,48.995
77,49.008
82,49.02
83,49.03
84,49.07
85,49.087
90,49.112
92,49.152
93,49.153
94,49.193
98,49.218
111,49.219
119,49.233
121,49.274
129,49.279
130,49.285
133,49.314
139,49.352
144,49.355
154,49.395
156,49.417
158,49.439
160,49.454
164,49.479
167,49.482
168,49.52
197,49.55
199,49.56
203,49.6
209,49.614
211,49.642
213,49.682
215,49.683
216,49.684
217,49.723
222,49.745
227,49.763
228,49.804
231,49.812
232,49.844
238,49.878
243,49.885
246,49.908
248,49.925
250,49.945
252,49.965
254,50.007
256,50.01
258,50.048
263,50.077
265,50.088
267,50.129
269,50.139
273,50.142
276,50.162
278,50.169
279,50.209
282,50.21
284,50.25
286,50.275
289,50.291
291,50.332
292,50.34
295,50.37
297,50.373
299,50.405
301,50.413
303,50.454
304,50.472
307,50.494
309,50.535
314,50.54
317,50.575
319,50.604
320,50.616
323,50.657
326,50.672
327,50.698
330,50.737
334,50.738
338,50.779
343,50.802
348,50.819
350,50.829
351,50.86
354,50.869
355,50.9
361,50.934
363,50.941
364,50.943
370,50.973
371,50.982
397,51
401,51.023
402,51.063
408,51.064
411,51.065
413,51.104
415,51.133
420,51.144
428,51.17
439,51.184
451,51.2
452,51.225
468,51.26
470,51.264
472,51.265
474,51.305
476,51.33
479,51.347
481,51.388
482,51.397
484,51.428
486,51.463
488,51.469
490,51.497
492,51.509
495,51.528
497,51.55
498,51.59
501,51.593
502,51.631
505,51.662
507,51.672
509,51.713
512,51.719
514,51.728
516,51.753
519,51.792
521,51.794
522,51.834
524,51.859
527,51.875
529,51.915
531,51.924
534,51.956
535,51.957
536,51.99
537,51.997
541,52.038
544,52.057
545,52.078
546,52.119
548,52.123
550,52.159
552,52.184
554,52.19
556,52.2
559,52.24
561,52.255
563,52.281
565,52.319
566,52.322
568,52.363
570,52.387
571,52.403
579,52.42
581,52.444
583,52.454
585,52.484
588,52.517
589,52.525
592,52.565
595,52.583
600,52.606
602,52.645
604,52.647
606,52.65
608,52.688
610,52.717
